gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
ATF3,1.40865442222211e-29,1.31514055369665,0.852,0.655,6.34852375007063e-25,1,TRUE
FOS,1.68065486297286e-29,2.22960069846197,1,0.744,7.57437533644611e-25,11,TRUE
LAMC2,1.70926126007031e-29,-2.33071965324361,0.135,0.527,7.70329864688489e-25,1,TRUE
LINC00152,1.72200823473365e-29,-2.63032212959649,0.088,0.476,7.76074671229762e-25,0,TRUE
CD74,2.01416538134658e-29,1.30565255475935,0.957,0.899,9.07744054065278e-25,2,TRUE
C3,2.23747285629615e-29,2.43178995423199,0.708,0.332,1.00838426687555e-24,0,TRUE
GNL2,4.75658259334787e-29,-2.04131969324957,0.113,0.508,2.14369664317002e-24,1,TRUE
ZFP36,4.8769637584422e-29,1.2498014987047,0.944,0.87,2.19795002665473e-24,0,TRUE
LGALS7B,4.97723789826798e-29,-2.08984370162414,0.473,0.855,2.24314157599141e-24,2,TRUE
PDLIM4,5.23672353805617e-29,-1.87937133209924,0.282,0.721,2.36008656413116e-24,0,TRUE
SPARCL1,9.96716404115611e-29,2.14227054846617,0.759,0.462,4.49200149006823e-24,0,TRUE
ITGA6,1.31977898879088e-28,-2.05795716137699,0.252,0.678,5.94797994668273e-24,0,TRUE
DDX21,2.04698120743462e-28,-1.52642964724619,0.588,0.909,9.22533490566637e-24,0,TRUE
CALML3,2.10175978512151e-28,-2.18895102578662,0.326,0.731,9.47221099958563e-24,0,TRUE
BPIFA1,2.14683826448196e-28,6.49010050090624,0.465,0.024,9.67537069036731e-24,0,TRUE
UGT2A1,2.41165481593371e-28,1.98130558859073,0.764,0.404,1.08688459244501e-23,0,TRUE
HMGA1,3.72369551434422e-28,-1.83388348669171,0.401,0.855,1.67819509440465e-23,2,TRUE
SPRR3,4.90224589968514e-28,-7.35551035884191,0.018,0.538,2.2093441820701e-23,11,TRUE
SLC38A2,5.57838538520918e-28,1.10675618908619,0.94,0.822,2.51406672540607e-23,0,TRUE
NCOA7,1.11138661711419e-27,3.26314978826325,0.634,0.25,5.00879720601025e-23,2,TRUE
AREG,1.19811862327964e-27,-2.42144193142332,0.266,0.645,5.39968101139668e-23,1,TRUE
LAD1,1.33255226276635e-27,-2.1147194907714,0.172,0.649,6.00554653783539e-23,2,TRUE
